product_name,stars,rating,reviews,curr_price,mrp,processor,ram,image
Infinix INBook X2 Plus Core i3 11th Gen,4.2,464,90,31490,44990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/f/r/-original-imagjfgyxmcz7scf.jpeg?q=70
realme Book (Slim) Core i3 11th Gen,4.4,14488,2112,36999,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),https://rukminim2.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70
HP Chromebook MediaTek Kompanio 500,3.8,6530,734,19990,25451,MediaTek MediaTek Kompanio 500 Processor,4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/m/e/-original-imagkqwzw9cdvgj2.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.2,2651,287,35890,47147,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/u/6/-original-imagp7pfd65hfses.jpeg?q=70
MSI Core i5 11th Gen,4.1,167,27,43990,59990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/2/n/modern-14-c11m-031in-thin-and-light-laptop-msi-original-imagnjymxrnuxtwt.jpeg?q=70
HP 247 G8 Ryzen 3 Dual Core,4.1,87,10,32990,38423,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/r/9/247-g8-notebook-hp-original-imagpwbhdtz3dbjf.jpeg?q=70
ASUS Vivobook Go 15 Celeron Dual Core,4.2,221,19,27990,36990,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/n/w/-original-imagqs9vc7ecv4vj.jpeg?q=70
HP Celeron Dual Core,4,1883,260,18990,33390,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/w/r/-original-imagrs2bqaczkcty.jpeg?q=70
HP Chromebook x360 Intel Celeron Quad Core,3.8,162,19,18990,31156,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/computer/j/u/m/14a-ca0504tu-thin-and-light-laptop-hp-original-imagbmt6dsjhwwhz.jpeg?q=70
ASUS (2022) Celeron Dual Core,4.2,284,25,20990,30990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/l23mhzk0/computer/e/6/4/br1100cka-gj0722w-laptop-asus-original-imagdgsbfwfbzdmw.jpeg?q=70
MSI Core i5 11th Gen,0,0,0,47990,67990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/v/q/-original-imagrwq63pz43vze.jpeg?q=70
HP 15s (2023) Ryzen 3 Dual Core 3250U,4.2,2093,204,35490,39995,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
ASUS Chromebook Celeron Dual Core,3.6,419,53,13990,24990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kwnv6a80/computer/9/c/i/-original-imag9aajekwegabt.jpeg?q=70
HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250,4.3,16,1,30990,44911,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/l48s9zk0/computer/6/z/k/hp-laptop-255-g8-notebook-notebook-hp-original-imagf6hthg9zbxug.jpeg?q=70
Acer Extensa (2023) Core i3,4.3,308,47,34990,44999,Intel Core i3 Processor,8 GB LPDDR5 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/o/r/-original-imagnc38zedzfnw6.jpeg?q=70
Acer Extensa Core i3 11th Gen,3.7,6,0,34990,47999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/y/l/-original-imagnpcezv5dfdew.jpeg?q=70
HP Core i3 11th Gen,4.1,217,17,35990,44253,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/v/w/245-g8-business-laptop-hp-original-imagn4bctguugysg.jpeg?q=70
Primebook 4G Android Based MediaTek MT8788,4.1,1507,467,13990,24990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70
Primebook 4G enabled Android based MediaTek MT8788,3.9,20,5,14990,27990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/d/u/s-4g-thin-and-light-laptop-primebook-original-imagraab4g5uh39r.jpeg?q=70
ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U,4.4,242,34,46990,61990,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/2/b/-original-imagpxgrex4fdfcp.jpeg?q=70
Acer Extensa 15 Non,4.1,94,9,30990,45990,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/l/p/-original-imagqmqjv5cyvbup.jpeg?q=70
AXL Celeron Dual Core,3.7,47,7,15999,31990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/b/q/axl-vayu-book-thin-and-light-laptop-axl-original-imagrehvpjhwkdcd.jpeg?q=70
realme Book (Slim) Core i3 11th Gen,4.4,14488,2071,36999,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),https://rukminim2.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70
Infinix X2 Slim Intel Core i7 11th Gen,4.5,67,13,48990,69990,Intel Core i7 Processor (11th Gen),16 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/k/e/inbook-thin-and-light-laptop-infinix-original-imagpyjduraxwu4m.jpeg?q=70
ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U,4.4,242,34,46990,61990,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/k/k/-original-imagpxgru35rbzwz.jpeg?q=70
DELL Inspiron 3000 Core i3 11th Gen,4.1,894,130,38490,58229,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/l16rde80/computer/p/4/i/inspiron-3511-thin-and-light-laptop-dell-original-imagctygxz8x6hnx.jpeg?q=70
Lenovo Athlon Dual Core 3150U,3.4,47,5,20990,29999,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70
HP Celeron Dual Core,4,1885,260,18990,33390,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/w/r/-original-imagrs2bqaczkcty.jpeg?q=70
HP Chromebook x360 Intel Celeron Quad Core,3.8,162,19,18990,31156,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/computer/j/u/m/14a-ca0504tu-thin-and-light-laptop-hp-original-imagbmt6dsjhwwhz.jpeg?q=70
